"date","closes_alior","closes_ing"
"01/01/2023",30.16,137.35
"02/01/2023",30.16,137.35
"03/01/2023",33.37,142.71
"04/01/2023",35.68,148.06
"05/01/2023",36.27,149.23
"09/01/2023",37.34,152.74
"10/01/2023",37.8,151.41
"06/01/2023",37.03,150.57
"11/01/2023",36.26,149.73
"12/01/2023",36.87,152.24
"07/01/2023",36.73,150.985
"13/01/2023",36.59,149.73
"16/01/2023",36.89,150.4
"08/01/2023",36.7,147.975
"17/01/2023",36.51,145.55
"18/01/2023",35.42,143.54
"19/01/2023",34.56,141.03
"20/01/2023",35.22,143.21
"23/01/2023",35.24,147.06
"24/01/2023",35.04,146.05
"25/01/2023",33.46,143.88
"14/01/2023",33.595,143.46
"26/01/2023",33.73,143.04
"27/01/2023",33.73,143.71
"15/01/2023",32.975,141.45
"30/01/2023",32.22,139.19
"31/01/2023",34.07,144.38
"01/02/2023",34.12,144.55
"02/02/2023",34.61,143.54
"03/02/2023",34.94,144.55
"06/02/2023",33.99,142.37
"07/02/2023",33.98,140.87
"21/01/2023",33.915,141.205
"08/02/2023",33.85,141.54
"09/02/2023",35.23,145.38
"22/01/2023",34.51,144.38
"10/02/2023",33.79,143.38
"13/02/2023",33.73,138.36
"14/02/2023",34.22,139.86
"15/02/2023",34.35,140.53
"16/02/2023",35.47,143.88
"17/02/2023",34.63,141.2
"20/02/2023",34.3,140.2
"28/01/2023",34.1,140.115
"21/02/2023",33.9,140.03
"22/02/2023",33.47,136.52
"29/01/2023",33.715,137.775
"23/02/2023",33.96,139.03
"24/02/2023",34.53,138.86
"27/02/2023",34.61,140.7
"28/02/2023",35.3,142.87
"01/03/2023",34.99,144.38
"02/03/2023",34.42,139.53
"03/03/2023",34.34,142.37
"04/02/2023",34.765,144.38
"06/03/2023",35.19,146.39
"07/03/2023",35.66,146.39
"05/02/2023",35.975,145.805
"08/03/2023",36.29,145.22
"09/03/2023",35.64,146.39
"10/03/2023",34.2,143.88
"13/03/2023",33.47,137.52
"14/03/2023",33.92,138.86
"15/03/2023",32.06,132.5
"16/03/2023",31.87,132
"11/02/2023",30.885,132.585
"17/03/2023",29.9,133.17
"20/03/2023",29.49,132.5
"12/02/2023",29.825,133.17
"21/03/2023",30.16,133.84
"22/03/2023",29.81,131.33
"23/03/2023",29.96,133.84
"24/03/2023",29.65,132.33
"27/03/2023",31.03,134.68
"28/03/2023",32.04,134.34
"29/03/2023",32.89,131.83
"18/02/2023",33.21,133.585
"30/03/2023",33.53,135.34
"31/03/2023",33.68,137.19
"19/02/2023",33.92,139.28
"03/04/2023",34.16,141.37
"04/04/2023",34.97,140.03
"05/04/2023",33.85,138.69
"06/04/2023",34.01,136.35
"11/04/2023",35.69,142.04
"12/04/2023",36.77,140.03
"13/04/2023",38.46,139.36
"25/02/2023",38.83,138.69
"14/04/2023",39.2,138.02
"17/04/2023",39.48,138.86
"26/02/2023",39.405,139.28
"18/04/2023",39.33,139.7
"19/04/2023",39.07,138.52
"20/04/2023",39.19,138.36
"21/04/2023",39.75,135.85
"24/04/2023",39.15,135.85
"25/04/2023",38.8,134.68
"26/04/2023",37.9,133.84
"04/03/2023",38.38,133.42
"27/04/2023",38.86,133
"28/04/2023",37.73,132.5
"05/03/2023",37.48,133.17
"02/05/2023",37.23,133.84
"04/05/2023",36.19,131
"05/05/2023",36.79,134.17
"08/05/2023",36.81,138.86
"09/05/2023",36.51,144.55
"10/05/2023",37.22,146.39
"11/05/2023",37.18,141.37
"11/03/2023",37.455,139.695
"12/05/2023",37.73,138.02
"15/05/2023",36.7,138.19
"12/03/2023",36.735,138.86
"16/05/2023",36.77,139.53
"17/05/2023",36.45,143.38
"18/05/2023",36.86,141.03
"19/05/2023",37.9,143.71
"22/05/2023",38.16,146.89
"23/05/2023",38.45,148.9
"24/05/2023",37.18,142.37
"18/03/2023",37.51,142.285
"25/05/2023",37.84,142.2
"26/05/2023",38.49,142.71
"19/03/2023",38.195,141.62
"29/05/2023",37.9,140.53
"30/05/2023",36.87,140.7
"31/05/2023",35.14,136.68
"01/06/2023",36.15,139.53
"02/06/2023",38.67,143.04
"05/06/2023",38.67,140.87
"06/06/2023",40.38,141.37
"25/03/2023",39.79,141.37
"07/06/2023",39.2,141.37
"09/06/2023",39.6,141.03
"26/03/2023",39.115,141.45
"12/06/2023",38.63,141.87
"13/06/2023",37.73,138.02
"14/06/2023",39.31,141.37
"15/06/2023",39.51,145.38
"16/06/2023",39.92,146.89
"19/06/2023",40.05,151.24
"20/06/2023",39.87,152.74
"01/04/2023",40.425,152.075
"21/06/2023",40.98,151.41
"22/06/2023",40.87,150.07
"02/04/2023",40.125,147.39
"23/06/2023",39.38,144.71
"26/06/2023",41.14,150.57
"27/06/2023",40.87,148.56
"28/06/2023",41.12,147.73
"29/06/2023",41.13,152.91
"30/06/2023",42.04,156.76
"07/04/2023",42.855,154.585
"03/07/2023",43.67,152.41
"04/07/2023",43.03,155.42
"08/04/2023",42.38,155.085
"05/07/2023",41.73,154.75
"06/07/2023",42.35,153.75
"09/04/2023",42.735,153.83
"07/07/2023",43.12,153.91
"10/07/2023",43.99,158.93
"10/04/2023",44.36,159.77
"11/07/2023",44.73,160.61
"12/07/2023",46.77,169.39
"13/07/2023",47.55,165.96
"14/07/2023",47.57,168.97
"17/07/2023",48.18,168.97
"18/07/2023",49.11,169.39
"15/04/2023",49.675,168.765
"19/07/2023",50.24,168.14
"20/07/2023",49.9,168.97
"16/04/2023",49.42,169.18
"21/07/2023",48.94,169.39
"24/07/2023",50.04,167.3
"25/07/2023",49.72,168.55
"26/07/2023",49.17,165.96
"27/07/2023",50.59,164.79
"28/07/2023",50.57,163.12
"31/07/2023",50.45,167.13
"22/04/2023",50.26,165.54
"01/08/2023",50.07,163.95
"02/08/2023",49.98,159.94
"23/04/2023",50.025,163.37
"03/08/2023",50.07,166.8
"04/08/2023",51.6,167.3
"07/08/2023",50.99,163.12
"08/08/2023",48.54,158.1
"09/08/2023",49.53,158.1
"10/08/2023",51.62,159.77
"11/08/2023",51.15,162.45
"29/04/2023",50.66,165.085
"14/08/2023",50.17,167.72
"16/08/2023",48.42,166.46
"30/04/2023",47.47,165.29
"17/08/2023",46.52,164.12
"18/08/2023",47.81,162.61
"01/05/2023",47.845,164.955
"21/08/2023",47.88,167.3
"22/08/2023",46.91,161.95
"23/08/2023",46.52,157.93
"03/05/2023",46.445,158.85
"24/08/2023",46.37,159.77
"25/08/2023",45.57,155.59
"28/08/2023",47.55,159.77
"29/08/2023",48.4,161.78
"06/05/2023",48.755,161.61
"30/08/2023",49.11,161.44
"31/08/2023",48.84,163.62
"07/05/2023",48.56,162.365
"01/09/2023",48.28,161.11
"04/09/2023",46.94,158.93
"05/09/2023",46.94,157.26
"06/09/2023",44.68,155.59
"07/09/2023",42.63,158.93
"08/09/2023",43.21,163.95
"11/09/2023",43.27,162.61
"13/05/2023",43.465,159.935
"12/09/2023",43.66,157.26
"13/09/2023",44.33,162.28
"14/05/2023",44.68,162.28
"14/09/2023",45.03,162.28
"15/09/2023",44.91,161.11
"18/09/2023",43.35,159.77
"19/09/2023",43.43,161.28
"20/09/2023",45.03,159.77
"21/09/2023",43.92,155.09
"22/09/2023",43.31,153.58
"20/05/2023",43.04,153.33
"25/09/2023",42.77,153.08
"26/09/2023",43.38,155.25
"21/05/2023",42.79,152.075
"27/09/2023",42.2,148.9
"28/09/2023",43.12,148.73
"29/09/2023",45.03,150.57
"02/10/2023",43.76,144.71
"03/10/2023",43.03,147.22
"04/10/2023",45.64,150.07
"05/10/2023",45.93,148.9
"27/05/2023",47.19,149.485
"06/10/2023",48.45,150.07
"09/10/2023",50.7,156.43
"28/05/2023",50.725,157.265
"10/10/2023",50.75,158.1
"11/10/2023",52.73,159.77
"12/10/2023",52.02,160.27
"13/10/2023",52.68,161.78
"16/10/2023",54.33,172.74
"17/10/2023",54.94,175.66
"18/10/2023",54.16,176.92
"03/06/2023",54.03,174.62
"19/10/2023",53.9,172.32
"20/10/2023",53.79,169.39
"04/06/2023",53.73,170.435
"23/10/2023",53.67,171.48
"24/10/2023",55.63,173.99
"25/10/2023",56.33,173.99
"26/10/2023",57.37,175.25
"27/10/2023",56.59,171.48
"08/06/2023",56.93,175.035
"30/10/2023",57.27,178.59
"31/10/2023",57.53,182.77
"02/11/2023",57.51,184.03
"10/06/2023",57.795,188.63
"03/11/2023",58.08,193.23
"06/11/2023",59.2,198.67
"11/06/2023",59.375,195.325
"07/11/2023",59.55,191.98
"08/11/2023",59.82,195.74
"09/11/2023",60.52,200.76
"10/11/2023",59.41,199.09
"13/11/2023",60.19,191.14
"14/11/2023",62.54,199.09
"15/11/2023",62.1,192.81
"17/06/2023",62.265,195.95
"16/11/2023",62.43,199.09
"17/11/2023",63.18,199.92
"18/06/2023",64.24,201.595
"20/11/2023",65.3,203.27
"21/11/2023",63.89,202.01
"22/11/2023",64.48,204.94
"23/11/2023",64.66,204.94
"24/11/2023",64.64,204.94
"27/11/2023",63.68,204.1
"28/11/2023",66.29,209.12
"24/06/2023",66.785,206.195
"29/11/2023",67.28,203.27
"30/11/2023",67.09,202.43
"25/06/2023",67.88,205.36
"01/12/2023",68.67,208.29
"04/12/2023",67.37,208.29
"05/12/2023",66.76,213.72
"06/12/2023",66.85,220.83
"07/12/2023",66.59,220
"08/12/2023",67.11,221.67
"11/12/2023",66.62,227.94
"01/07/2023",66.245,224.18
"12/12/2023",65.87,220.42
