date;closes_alior;daily_returns_alior;daily_log_returns_alior;closes_ing;daily_returns_ing;daily_log_returns_ing
01/01/2023;30.16;;;137.35;;
02/01/2023;30.16;0.000000;0.000000;137.35;0.000000;0.000000
03/01/2023;33.37;0.106432;0.101141;142.71;0.039024;0.038282
04/01/2023;35.68;0.069224;0.066933;148.06;0.037489;0.036803
05/01/2023;36.27;0.016536;0.016401;149.23;0.007902;0.007871
06/01/2023;37.34;0.029501;0.029074;152.74;0.023521;0.023248
07/01/2023;37.8;0.012319;0.012244;151.41;-0.008708;-0.008746
08/01/2023;37.03;-0.020370;-0.020581;150.57;-0.005548;-0.005563
09/01/2023;36.26;-0.020794;-0.021013;149.73;-0.005579;-0.005594
10/01/2023;36.87;0.016823;0.016683;152.24;0.016764;0.016625
11/01/2023;36.73;-0.003797;-0.003804;150.985;-0.008244;-0.008278
12/01/2023;36.59;-0.003812;-0.003819;149.73;-0.008312;-0.008347
13/01/2023;36.89;0.008199;0.008166;150.4;0.004475;0.004465
14/01/2023;36.7;-0.005150;-0.005164;147.975;-0.016124;-0.016255
15/01/2023;36.51;-0.005177;-0.005191;145.55;-0.016388;-0.016524
16/01/2023;35.42;-0.029855;-0.030310;143.54;-0.013810;-0.013906
17/01/2023;34.56;-0.024280;-0.024580;141.03;-0.017486;-0.017641
18/01/2023;35.22;0.019097;0.018917;143.21;0.015458;0.015339
19/01/2023;35.24;0.000568;0.000568;147.06;0.026884;0.026529
20/01/2023;35.04;-0.005675;-0.005692;146.05;-0.006868;-0.006892
21/01/2023;33.46;-0.045091;-0.046140;143.88;-0.014858;-0.014969
22/01/2023;33.595;0.004035;0.004027;143.46;-0.002919;-0.002923
23/01/2023;33.73;0.004018;0.004010;143.04;-0.002928;-0.002932
24/01/2023;33.73;0.000000;0.000000;143.71;0.004684;0.004673
25/01/2023;32.975;-0.022384;-0.022638;141.45;-0.015726;-0.015851
26/01/2023;32.22;-0.022896;-0.023162;139.19;-0.015977;-0.016106
27/01/2023;34.07;0.057418;0.055830;144.38;0.037287;0.036609
28/01/2023;34.12;0.001468;0.001466;144.55;0.001177;0.001177
29/01/2023;34.61;0.014361;0.014259;143.54;-0.006987;-0.007012
30/01/2023;34.94;0.009535;0.009490;144.55;0.007036;0.007012
31/01/2023;33.99;-0.027189;-0.027566;142.37;-0.015081;-0.015196
01/02/2023;33.98;-0.000294;-0.000294;140.87;-0.010536;-0.010592
02/02/2023;33.915;-0.001913;-0.001915;141.205;0.002378;0.002375
03/02/2023;33.85;-0.001917;-0.001918;141.54;0.002372;0.002370
04/02/2023;35.23;0.040768;0.039959;145.38;0.027130;0.026769
